horizon,target,impulse,response
2,farmgate_index_weekly,downstream_extension_weekly,0.0023567972939648046
2,producer_index_weekly,farmgate_index_weekly,0.08085759280821248
2,producer_index_weekly,producer_index_weekly,2.5718363720249475
2,producer_index_weekly,procurement_index_weekly,0.039835209592923596
2,producer_index_weekly,downstream_extension_weekly,0.0021164414250526608
2,procurement_index_weekly,farmgate_index_weekly,-1.2138894957806046
2,procurement_index_weekly,producer_index_weekly,0.6179364759597883
2,procurement_index_weekly,procurement_index_weekly,-0.17453490585372977
2,procurement_index_weekly,downstream_extension_weekly,0.11778456360363267
2,downstream_extension_weekly,farmgate_index_weekly,3.9791767331108767
2,downstream_extension_weekly,producer_index_weekly,-4.807358145833053
2,downstream_extension_weekly,procurement_index_weekly,0.6375964760050927
2,downstream_extension_weekly,downstream_extension_weekly,-0.4127818653269987
3,farmgate_index_weekly,farmgate_index_weekly,1.6392527609343328
3,farmgate_index_weekly,producer_index_weekly,0.1496030794993946
3,farmgate_index_weekly,procurement_index_weekly,0.010033118801236347
3,farmgate_index_weekly,downstream_extension_weekly,-0.04046092608593451
3,producer_index_weekly,farmgate_index_weekly,0.15797574110347218
3,producer_index_weekly,producer_index_weekly,3.0310845044613726
3,producer_index_weekly,procurement_index_weekly,0.05390579516753805
3,producer_index_weekly,downstream_extension_weekly,0.048400755214023566
3,procurement_index_weekly,farmgate_index_weekly,1.5050727638478096
3,procurement_index_weekly,producer_index_weekly,1.2577172241944736
3,procurement_index_weekly,procurement_index_weekly,0.21151934842047568
3,procurement_index_weekly,downstream_extension_weekly,0.09091564534541735
3,downstream_extension_weekly,farmgate_index_weekly,0.0630175615306312
3,downstream_extension_weekly,producer_index_weekly,-2.984889662653252
3,downstream_extension_weekly,procurement_index_weekly,0.4434665075218733
3,downstream_extension_weekly,downstream_extension_weekly,0.5326324672691534
4,farmgate_index_weekly,farmgate_index_weekly,1.4329936205197789
4,farmgate_index_weekly,producer_index_weekly,0.44525934689334623
4,farmgate_index_weekly,procurement_index_weekly,-0.014466576804324354
4,farmgate_index_weekly,downstream_extension_weekly,-0.014685520390559835
4,producer_index_weekly,farmgate_index_weekly,0.2579868933930047
4,producer_index_weekly,producer_index_weekly,3.3514019102001527
4,producer_index_weekly,procurement_index_weekly,0.039416459865697105
4,producer_index_weekly,downstream_extension_weekly,0.088346514313566
4,procurement_index_weekly,farmgate_index_weekly,-2.66313685112469
4,procurement_index_weekly,producer_index_weekly,4.252431036240925
4,procurement_index_weekly,procurement_index_weekly,0.13545729441281135
4,procurement_index_weekly,downstream_extension_weekly,1.2892370461296156
4,downstream_extension_weekly,farmgate_index_weekly,3.0247657776793875
4,downstream_extension_weekly,producer_index_weekly,-4.446690155376375
4,downstream_extension_weekly,procurement_index_weekly,0.14053809906403733
4,downstream_extension_weekly,downstream_extension_weekly,-0.5462175779534117
5,farmgate_index_weekly,farmgate_index_weekly,1.343004865941286
5,farmgate_index_weekly,producer_index_weekly,0.6974410124338385
5,farmgate_index_weekly,procurement_index_weekly,-0.03136821715841871
5,farmgate_index_weekly,downstream_extension_weekly,0.011759678844459508
5,producer_index_weekly,farmgate_index_weekly,0.5752697182810889
5,producer_index_weekly,producer_index_weekly,3.3514088777700097
5,producer_index_weekly,procurement_index_weekly,0.05182103003674464
5,producer_index_weekly,downstream_extension_weekly,0.0932816757142346
5,procurement_index_weekly,farmgate_index_weekly,-1.2486091955428509
5,procurement_index_weekly,producer_index_weekly,2.08111952572439
5,procurement_index_weekly,procurement_index_weekly,0.4339419642900574
5,procurement_index_weekly,downstream_extension_weekly,0.3882013818300863
5,downstream_extension_weekly,farmgate_index_weekly,6.953476479289384
5,downstream_extension_weekly,producer_index_weekly,-6.762571378304082
5,downstream_extension_weekly,procurement_index_weekly,-0.07728345732608388
5,downstream_extension_weekly,downstream_extension_weekly,-1.320810691525238
6,farmgate_index_weekly,farmgate_index_weekly,1.4082904136980563
6,farmgate_index_weekly,producer_index_weekly,0.8558339123327761
6,farmgate_index_weekly,procurement_index_weekly,-0.023596674480627137
6,farmgate_index_weekly,downstream_extension_weekly,0.0005229462495545401
6,producer_index_weekly,farmgate_index_weekly,0.825255697403652
6,producer_index_weekly,producer_index_weekly,3.23959373271836
6,producer_index_weekly,procurement_index_weekly,0.08202253513448413
6,producer_index_weekly,downstream_extension_weekly,0.1517482962728265
6,procurement_index_weekly,farmgate_index_weekly,1.981508636796391
6,procurement_index_weekly,producer_index_weekly,-0.9109033632316784
6,procurement_index_weekly,procurement_index_weekly,0.931038524375613
6,procurement_index_weekly,downstream_extension_weekly,-0.8885350567437951
6,downstream_extension_weekly,farmgate_index_weekly,-0.17381293433704403
6,downstream_extension_weekly,producer_index_weekly,-1.3983172508428576
6,downstream_extension_weekly,procurement_index_weekly,-0.5491053526260022
6,downstream_extension_weekly,downstream_extension_weekly,1.7414237289287375
7,farmgate_index_weekly,farmgate_index_weekly,1.1543725359837826
7,farmgate_index_weekly,producer_index_weekly,1.1472916626816896
7,farmgate_index_weekly,procurement_index_weekly,-0.00807109053635751
7,farmgate_index_weekly,downstream_extension_weekly,0.0789661532032851
7,producer_index_weekly,farmgate_index_weekly,1.1551517208522228
7,producer_index_weekly,producer_index_weekly,2.8595187388291574
7,producer_index_weekly,procurement_index_weekly,0.10697108752304825
7,producer_index_weekly,downstream_extension_weekly,0.16671258662823324
7,procurement_index_weekly,farmgate_index_weekly,-3.7215336740278757
7,procurement_index_weekly,producer_index_weekly,2.7055060393011816
7,procurement_index_weekly,procurement_index_weekly,0.4143162878194662
7,procurement_index_weekly,downstream_extension_weekly,1.1005513203692872
7,downstream_extension_weekly,farmgate_index_weekly,2.4938516124195322
7,downstream_extension_weekly,producer_index_weekly,-1.9764176724426485
7,downstream_extension_weekly,procurement_index_weekly,-0.31394931435819795
7,downstream_extension_weekly,downstream_extension_weekly,0.5234487632657501
8,farmgate_index_weekly,farmgate_index_weekly,1.0455747726780988
8,farmgate_index_weekly,producer_index_weekly,1.3105367997335515
8,farmgate_index_weekly,procurement_index_weekly,0.022394685034175292
8,farmgate_index_weekly,downstream_extension_weekly,0.0788205415697101
8,producer_index_weekly,farmgate_index_weekly,1.8381234520013903
8,producer_index_weekly,producer_index_weekly,2.0229920072409477
8,producer_index_weekly,procurement_index_weekly,0.1291343669572729
8,producer_index_weekly,downstream_extension_weekly,0.063362512907082
8,procurement_index_weekly,farmgate_index_weekly,1.2540583735721738
8,procurement_index_weekly,producer_index_weekly,-0.019451642808223646
8,procurement_index_weekly,procurement_index_weekly,0.01316912050725158
8,procurement_index_weekly,downstream_extension_weekly,-0.1985040166512817
8,downstream_extension_weekly,farmgate_index_weekly,6.157340107654718
8,downstream_extension_weekly,producer_index_weekly,-5.621813283852651
8,downstream_extension_weekly,procurement_index_weekly,0.5491500964781302
8,downstream_extension_weekly,downstream_extension_weekly,-1.52479633053095
